case,episode,seed,original_interception_success,original_cooperative_success,asset_safe_interception_success,asset_safe_active_group_success,asset_safe_cooperative_success,breach_before_first_hit_target_indices,not_completed_before_breach_target_indices,mission_first_hit_completion_time_s,mission_active_group_completion_time_s
case1,1,89001,1,1,1,1,1,,,35.950000000000095,35.950000000000095
case1,2,89002,1,1,1,1,1,,,33.05000000000026,33.10000000000026
case1,3,89003,1,1,1,1,1,,,33.05000000000026,33.10000000000026
case1,4,89004,1,1,1,1,1,,,34.45000000000018,34.45000000000018
case1,5,89005,1,1,1,1,1,,,34.95000000000015,35.00000000000015
case1,6,89006,1,0,1,0,0,,1,33.05000000000026,nan
case1,7,89007,1,1,1,1,1,,,33.10000000000026,33.10000000000026
case1,8,89008,1,1,1,1,1,,,34.25000000000019,34.25000000000019
case1,9,89009,1,1,1,1,1,,,33.05000000000026,33.10000000000026
case1,10,89010,1,1,1,1,1,,,33.10000000000026,33.10000000000026
case1,11,89011,1,1,1,1,1,,,33.10000000000026,33.10000000000026
case1,12,89012,1,1,1,1,1,,,34.95000000000015,35.00000000000015
case1,13,89013,1,1,1,1,1,,,37.10000000000003,37.10000000000003
case1,14,89014,1,1,1,1,1,,,34.000000000000206,34.000000000000206
case1,15,89015,1,1,1,1,1,,,33.10000000000026,33.150000000000254
case1,16,89016,1,0,1,0,0,,4,33.10000000000026,nan
case1,17,89017,1,1,1,1,1,,,33.150000000000254,33.150000000000254
case1,18,89018,1,1,1,1,1,,,34.95000000000015,35.00000000000015
case1,19,89019,1,1,1,1,1,,,33.40000000000024,33.40000000000024
case1,20,89020,1,1,1,1,1,,,34.700000000000166,34.700000000000166
case1,21,89021,1,1,1,1,1,,,33.80000000000022,33.80000000000022
case1,22,89022,1,1,1,1,1,,,33.150000000000254,33.150000000000254
case1,23,89023,1,1,1,1,1,,,33.10000000000026,33.150000000000254
case1,24,89024,0,0,0,0,0,7,7,nan,nan
case1,25,89025,1,1,1,1,1,,,33.35000000000024,33.35000000000024
case1,26,89026,0,0,0,0,0,5,5,nan,nan
case1,27,89027,1,1,1,1,1,,,33.05000000000026,33.10000000000026
case1,28,89028,1,1,1,1,1,,,34.80000000000016,34.80000000000016
case1,29,89029,1,1,1,1,1,,,34.40000000000018,34.40000000000018
case1,30,89030,0,0,0,0,0,6,3;6,nan,nan
case1,31,89031,1,1,1,1,1,,,35.9000000000001,35.9000000000001
case1,32,89032,1,0,1,0,0,,1,33.40000000000024,nan
case1,33,89033,1,1,1,1,1,,,34.95000000000015,35.00000000000015
case1,34,89034,1,1,1,1,1,,,33.05000000000026,33.10000000000026
case1,35,89035,1,1,1,1,1,,,33.70000000000022,33.70000000000022
case1,36,89036,0,0,0,0,0,4,4,nan,nan
case1,37,89037,1,1,1,1,1,,,33.150000000000254,33.150000000000254
case1,38,89038,1,1,1,1,1,,,34.95000000000015,35.00000000000015
case1,39,89039,1,1,1,1,1,,,34.95000000000015,35.00000000000015
case1,40,89040,1,1,1,1,1,,,33.10000000000026,33.10000000000026
case1,41,89041,1,0,1,0,0,,5,34.95000000000015,nan
case1,42,89042,1,1,1,1,1,,,33.10000000000026,33.10000000000026
case1,43,89043,1,1,1,1,1,,,33.10000000000026,33.10000000000026
case1,44,89044,1,1,1,1,1,,,34.95000000000015,35.00000000000015
case1,45,89045,1,1,1,1,1,,,34.45000000000018,34.45000000000018
case1,46,89046,1,0,1,0,0,,3;4,34.60000000000017,nan
case1,47,89047,1,1,1,1,1,,,33.150000000000254,33.150000000000254
case1,48,89048,1,1,1,1,1,,,34.95000000000015,35.00000000000015
case1,49,89049,1,1,1,1,1,,,33.35000000000024,33.40000000000024
case1,50,89050,1,1,1,1,1,,,33.150000000000254,33.150000000000254
case1,51,89051,1,1,1,1,1,,,33.35000000000024,33.35000000000024
case1,52,89052,0,0,0,0,0,5,5,nan,nan
case1,53,89053,1,1,1,1,1,,,33.05000000000026,33.10000000000026
case1,54,89054,1,1,1,1,1,,,34.45000000000018,34.45000000000018
case1,55,89055,1,1,1,1,1,,,33.10000000000026,33.10000000000026
case1,56,89056,1,0,1,0,0,,1,33.35000000000024,nan
case1,57,89057,1,1,1,1,1,,,34.95000000000015,35.00000000000015
case1,58,89058,1,1,1,1,1,,,33.150000000000254,33.150000000000254
case1,59,89059,1,1,1,1,1,,,34.550000000000175,34.550000000000175
case1,60,89060,1,1,1,1,1,,,33.10000000000026,33.150000000000254
case1,61,89061,1,1,1,1,1,,,33.150000000000254,33.150000000000254
case1,62,89062,1,1,1,1,1,,,34.95000000000015,35.00000000000015
case1,63,89063,1,1,1,1,1,,,33.10000000000026,33.10000000000026
case1,64,89064,0,0,0,0,0,6,6,nan,nan
case1,65,89065,0,0,0,0,0,7,7,nan,nan
case1,66,89066,1,0,1,0,0,,5,33.150000000000254,nan
case1,67,89067,1,1,1,1,1,,,33.150000000000254,33.150000000000254
case1,68,89068,1,1,1,1,1,,,34.550000000000175,34.550000000000175
case1,69,89069,1,1,1,1,1,,,34.40000000000018,34.40000000000018
case1,70,89070,1,1,1,1,1,,,33.150000000000254,33.150000000000254
case1,71,89071,1,1,1,1,1,,,33.10000000000026,33.10000000000026
case1,72,89072,1,0,1,0,0,,3,33.150000000000254,nan
case1,73,89073,1,1,1,1,1,,,33.10000000000026,33.150000000000254
case1,74,89074,1,1,1,1,1,,,33.10000000000026,33.10000000000026
case1,75,89075,1,1,1,1,1,,,33.05000000000026,33.10000000000026
case1,76,89076,1,1,1,1,1,,,33.05000000000026,33.10000000000026
case1,77,89077,1,1,1,1,1,,,33.05000000000026,33.10000000000026
case1,78,89078,1,1,1,1,1,,,33.10000000000026,33.150000000000254
case1,79,89079,1,1,1,1,1,,,33.150000000000254,33.150000000000254
case1,80,89080,1,1,1,1,1,,,33.10000000000026,33.10000000000026
case1,81,89081,1,1,1,1,1,,,33.05000000000026,33.10000000000026
case1,82,89082,1,1,1,1,1,,,33.10000000000026,33.10000000000026
case1,83,89083,0,0,0,0,0,4,4,nan,nan
case1,84,89084,1,1,1,1,1,,,33.05000000000026,33.10000000000026
case1,85,89085,1,1,1,1,1,,,33.05000000000026,33.10000000000026
case1,86,89086,1,1,1,1,1,,,33.95000000000021,33.95000000000021
case1,87,89087,1,1,1,1,1,,,34.95000000000015,35.00000000000015
case1,88,89088,1,1,1,1,1,,,35.15000000000014,35.15000000000014
case1,89,89089,1,1,1,1,1,,,33.35000000000024,33.40000000000024
case1,90,89090,1,0,1,0,0,,0,33.10000000000026,nan
case1,91,89091,1,1,1,1,1,,,34.30000000000019,34.30000000000019
case1,92,89092,1,0,1,0,0,,4;5,33.35000000000024,nan
case1,93,89093,1,1,1,1,1,,,33.150000000000254,33.150000000000254
case1,94,89094,1,1,1,1,1,,,33.40000000000024,33.40000000000024
case1,95,89095,1,1,1,1,1,,,37.40000000000001,37.40000000000001
case1,96,89096,1,1,1,1,1,,,33.35000000000024,33.35000000000024
case1,97,89097,1,1,1,1,1,,,33.10000000000026,33.10000000000026
case1,98,89098,1,1,1,1,1,,,33.650000000000226,33.650000000000226
case1,99,89099,1,1,1,1,1,,,33.40000000000024,33.40000000000024
case1,100,89100,1,1,1,1,1,,,33.05000000000026,33.10000000000026
case2,1,90001,0,0,0,0,0,4,4,nan,nan
case2,2,90002,1,1,1,1,1,,,64.94999999999845,65.09999999999845
case2,3,90003,0,0,0,0,0,1,1,nan,nan
case2,4,90004,0,0,0,0,0,2,2,nan,nan
case2,5,90005,1,0,1,0,0,,1,63.049999999998555,nan
case2,6,90006,1,0,1,0,0,,1;2,64.59999999999847,nan
case2,7,90007,1,0,1,0,0,,1,37.25000000000002,nan
case2,8,90008,1,0,1,1,0,,,37.30000000000002,71.84999999999806
case2,9,90009,0,0,0,0,0,7,1;7,nan,nan
case2,10,90010,0,0,0,0,0,5,1;5,nan,nan
case2,11,90011,0,0,0,0,0,4;7,2;4;7,nan,nan
case2,12,90012,1,0,1,0,0,,2,40.64999999999983,nan
case2,13,90013,0,0,0,0,0,5;7,5;7,nan,nan
case2,14,90014,0,0,0,0,0,6;7,1;6;7,nan,nan
case2,15,90015,0,0,0,0,0,1,1,nan,nan
case2,16,90016,0,0,0,0,0,7,1;2;7,nan,nan
case2,17,90017,1,0,1,1,0,,,37.350000000000016,71.64999999999807
case2,18,90018,0,0,0,0,0,4;7,1;4;7,nan,nan
case2,19,90019,1,0,1,0,0,,7,37.15000000000003,nan
case2,20,90020,0,0,0,0,0,6,1;6,nan,nan
case2,21,90021,1,0,1,1,0,,,37.25000000000002,73.19999999999798
case2,22,90022,0,0,0,0,0,7,0;1;7,nan,nan
case2,23,90023,0,0,0,0,0,4,1;4,nan,nan
case2,24,90024,0,0,0,0,0,1,1;2,nan,nan
case2,25,90025,0,0,0,0,0,1;7,1;4;7,nan,nan
case2,26,90026,1,0,1,0,0,,1,37.25000000000002,nan
case2,27,90027,1,0,1,0,0,,6,63.49999999999853,nan
case2,28,90028,0,0,0,0,0,4,1;4,nan,nan
case2,29,90029,0,0,0,0,0,6,1;6,nan,nan
case2,30,90030,0,0,0,0,0,4,1;4,nan,nan
case2,31,90031,1,0,1,1,0,,,62.64999999999858,65.34999999999843
case2,32,90032,0,0,0,0,0,7,1;6;7,nan,nan
case2,33,90033,1,0,0,0,0,5,1;4;5;6;7,nan,nan
case2,34,90034,1,0,1,0,0,,1;2,63.69999999999852,nan
case2,35,90035,0,0,0,0,0,7,7,nan,nan
